LOCALITY,n_sp,HYP,HOD,BUN,SF,OT,LOP,LOPT,AL,OL,ALX,AVERAGE.AGE,LAT,LONG,FORMATION,REFERENCE.SECTION,PALEOMAG.SECTION,MINIMUM.AGE,MAXIMUM.AGE,precipPredLM,precipPredRF,precipPredSCAM,precipPredSVM,precipPredGBM,precipPredMARS,precipPredGAM,precipPredXGB,ensemblePrec,tempPredRF,tempPredSCAM,tempPredSVM,tempPredGBM,tempPredMARS,tempPredGAM,tempPredXGB,tempPredLM,ensembleTemp,precipHYP
ML006,5,2,1.02,0.18,0.02,0.4,1.6,0,0.38,0.52,0.2,8.86,NA,NA,Dhok Pathan,Malhuwala Kas,Malhuwala Kas,8.733,8.987,567.3999999999999,415.5950718039894,659.161255546334,8.382161546079033,573.656374453687,1216.6178427177917,49.9891108934053,373.201416015625,487.2336361602145,7.96617821711392,15.6506586077165,12.521871054857346,8.078351939943152,12.366572389686343,14.8734150327319,8.0914764404296875,21.3,11.909507873674858,615.995898504158
RK001,6,1.5333333333333332,1.0166666666666666,0.13333333333333333,0.016666666666666666,0.18333333333333335,1.35,0.3833333333333333,0.6666666666666666,0.43333333333333335,0.3333333333333333,10.421,N 33 21.404,E 72 37.684,Nagri,Ratha Kas,Ratha Kas,10.361,10.48,912.5166666666667,782.2554685191146,1396.82224952295,1120.456722632115,900.8795844211629,1690.7349209416116,1724.64630803732,1204.12646484375,1269.2992090123794,7.924744516369918,11.7487845230947,11.993584932626051,8.042954312003928,12.02767812448371,12.9888073607896,8.030261993408203,17.5,10.787758961561313,976.407641316797
Y0004,5,2.24,1.4,0.2,0.4,0.24,1.2,1.28,0,0.8,0,8.417,NA,NA,Dhok Pathan,Dhok Pathan,Dhok Pathan,8.353,8.481,834.4399999999999,658.934406351442,336.147867695075,924.8070463244866,680.5827438278155,915.3682546788386,670.609264654533,615.9122314453125,697.74159725536515,25.45080005628863,21.0175441636396,25.867785603382778,25.72365961009198,25.170324678059238,21.3070936934775,25.655492782592773,27,24.089534634156617,319.495798416093
Y0007,9,1.8333333333333333,1.2222222222222223,0.1111111111111111,0.12222222222222222,0.25555555555555554,1.2333333333333334,1.1444444444444444,0.3111111111111111,0.7222222222222222,0.1111111111111111,8.314,NA,NA,Dhok Pathan,Dhok Pathan,Dhok Pathan,8.268,8.36,923.9333333333334,1659.8211986835754,1034.03720386383,907.3952883439463,1440.3325165651122,1501.9515394875866,1306.92743155731,2340.635009765625,1308.4108630835588,22.48208726377094,18.9067396683887,21.291965478273294,22.490700167652804,21.571109380465202,17.2702798934175,22.512216567993164,23.833333333333332,20.668813641994745,826.762832874888
Y0010,7,2.057142857142857,1.2857142857142858,0.14285714285714285,0.2857142857142857,0.18571428571428572,1.3,1.1857142857142857,0.2714285714285714,0.7142857142857143,0.14285714285714285,7.895,N 33 07.019,E 72 22.366,Dhok Pathan,Dhok Pathan,Dhok Pathan,7.878,7.911,803.1857142857145,1249.485423853899,573.959550212098,1123.1671980372857,1163.7150780250179,1179.1246731408523,628.130681122361,1658.2745361328125,986.2637673985857,25.335570980478977,17.889541301591,25.615022753635344,26.27638456791455,22.519405605976726,16.2810888710841,28.325056076049805,22.92857142857143,22.319502346780112,534.38162112708
Y0011,9,1.8,1,0.2222222222222222,0.2222222222222222,0.12222222222222222,1.4555555555555555,0.2111111111111111,0.43333333333333335,0.4444444444444444,0.3333333333333333,7.878,N 33 06.948,E 72 21.762,Dhok Pathan,Dhok Pathan,Dhok Pathan,7.843,7.912,746.6777777777777,2023.7442023914482,988.644582160998,1342.0737227900136,1709.7167840814286,1550.0321366030576,1284.11373825798,2235.796142578125,1483.054194380821,21.261208176096364,11.7487845230947,23.799855968685378,21.55978645076717,24.144783147965367,12.9888073607896,18.126863479614258,17.5,19.250537604566425,857.103079953228
Y0013,5,2.24,1.4,0.2,0.2,0.44,1.2,1.28,0,0.8,0,8.007,NA,NA,Dhok Pathan,Dhok Pathan,Dhok Pathan,7.936,8.077,834.4399999999999,580.6226664628339,336.147867695075,-87.13146332962674,669.5403459914238,915.3682546788386,-233.401924446842,456.4342956542969,363.5242911752838,23.90519535207021,21.0175441636396,24.923406247064104,24.10509470528133,23.542500657615857,21.3070936934775,23.913972854614258,27,23.1334724698581,319.495798416093
Y0017,12,1.8666666666666667,1.3333333333333333,0.08333333333333333,0.16666666666666666,0.19166666666666668,1.425,1.025,0.4916666666666667,0.6666666666666666,0.25,7.999,NA,NA,Dhok Pathan,Dhok Pathan,Dhok Pathan,7.983,8.015,753.1083333333333,1562.5436760805176,897.707796168901,1086.8268567707703,1334.501527635504,1453.8709423721152,1026.52890293257,2707.29150390625,1226.9966169933964,23.196972267898303,13.7054992089351,23.555539570215576,22.161404578576942,21.923584409387377,14.028116066614,21.486814498901367,19.875,19.761852683604552,791.754248797672
Y0018,5,1.88,1.4,0.2,0,0.44,1.2,1.28,0.2,0.74,0,8.118,NA,NA,Dhok Pathan,Dhok Pathan,Dhok Pathan,8.049,8.187,938.4800000000001,692.8224740192236,983.863543008003,-76.36685095938833,636.332060546162,1434.6387035259272,346.542027881499,254.7127227783203,669.6386596702378,12.305566269574925,21.0175441636396,16.19891876303138,16.311709052070107,16.432463682778295,21.3070936934775,16.309720993041992,27,17.262215937428632,776.426546138354
Y0019,10,2.04,1.4,0.1,0.2,0.33,1.31,1.23,0.29,0.7,0.2,8.03,NA,NA,Dhok Pathan,Dhok Pathan,Dhok Pathan,7.982,8.077,799.73,1207.5622846094743,585.426163586557,457.42436696218886,1059.7778701302484,1203.8518373716656,550.168463266882,1404.3330078125,844.0351643211694,24.488800021890984,15.6506586077165,24.47921094953992,24.719133617759635,21.133473173055044,14.8734150327319,24.627607345581055,21.3,20.890781900448996,558.707066239833
Y0020,9,1.8,1,0,0.1111111111111111,0.2222222222222222,1.5555555555555556,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,8.03,NA,NA,Dhok Pathan,Dhok Pathan,Dhok Pathan,7.982,8.077,662.5777777777778,1446.641734846973,988.644582160998,892.314805504401,1440.920545232313,1550.0321366030576,1361.14907923271,2511.77587890625,1279.9504805967415,16.360004298943476,11.7487845230947,25.743484014664915,16.768869806032555,23.24043646994127,12.9888073607896,15.65506649017334,17.5,17.808397745577746,857.103079953228
Y0024,15,1.8266666666666667,1.1333333333333333,0.13333333333333333,0.13333333333333333,0.08666666666666667,1.4066666666666667,0.6866666666666666,0.5266666666666666,0.6,0.26666666666666666,8.174,NA,NA,Dhok Pathan,Dhok Pathan,Dhok Pathan,8.098,8.25,780.0866666666666,1789.301187958049,962.744437156344,1130.5933455851255,1518.9390321463216,1511.5676589106806,1748.96344791609,2341.126708984375,1443.684851612102,24.669749421458874,13.1503790333702,23.509988600327766,23.8827626650311,22.006085485893337,13.8038636251512,25.145832061767578,19.4,20.170471471872077,833.192819499462
Y0025,5,1.44,1,0.2,0,0.2,1.2,0.4,0.6,0.33999999999999997,0.4,8.007,NA,NA,Dhok Pathan,Dhok Pathan,Dhok Pathan,7.936,8.077,1065.6400000000003,928.7330810670766,1560.87743528199,1117.7885576286305,1071.2616524640139,1592.764739469725,1718.75636940426,1155.649658203125,1331.6969725526167,7.821305527052756,11.1617913327709,7.837092570582825,7.294045020902228,7.757466698406279,11.9408674230664,7.270648002624512,15.6,8.968761428796899,986.895281531723
Y0028,13,1.7307692307692308,1.1538461538461537,0.16923076923076924,0.15384615384615385,0.16923076923076924,1.2538461538461538,0.8230769230769232,0.36153846153846153,0.5615384615384615,0.23076923076923078,8.368,NA,NA,Dhok Pathan,Dhok Pathan,Dhok Pathan,8.255,8.481,936.323076923077,1689.464271087423,1133.16127725156,1301.7120661333606,1739.009066373521,1649.8918383044206,1228.6022820655,2936.6416015625,1456.9734668692968,20.825115014499435,14.4179259471512,22.950587306658484,19.587296336999415,21.41100008510015,14.3174278160861,17.926240921020508,20.423076923076923,18.918225417749134,906.807446184845
Y0032,5,2.28,1.4,0,0.2,0.46,1.42,1.6600000000000001,0.18,1,0,8.368,NA,NA,Dhok Pathan,Dhok Pathan,Dhok Pathan,8.255,8.481,637.8599999999999,353.00299889465833,296.406556265266,-262.75999842281146,528.7886068899061,857.6715381402739,-69.3614671558494,162.25552368164063,283.95803910190733,23.90519535207021,21.0175441636396,24.923406247064104,24.10509470528133,23.542500657615857,21.3070936934775,23.913972854614258,27,23.1334724698581,286.761023563819
Y0033,6,1.7333333333333334,1.3333333333333333,0,0.16666666666666666,0.21666666666666667,1.1833333333333333,1.7166666666666668,0.31666666666666665,0.8333333333333334,0.16666666666666666,8.039,NA,NA,Dhok Pathan,Dhok Pathan,Dhok Pathan,8,8.077,994.8833333333332,1656.2796914992252,1170.7008773159,1091.2434665727467,1644.8837575451905,1646.1933308339999,1557.71809487435,2947.476806640625,1461.1698697735692,21.435930386276645,16.9980769574272,22.76026559224357,21.319316770266013,21.26367375040795,15.6326204350384,21.385828018188477,22.25,19.90164731527663,905.258198349153
Y0034,9,1.7444444444444445,1.2222222222222223,0.13333333333333333,0.1111111111111111,0.25555555555555554,1.3777777777777778,0.9555555555555556,0.4,0.5888888888888889,0.2222222222222222,8.216,NA,NA,Dhok Pathan,Dhok Pathan,Dhok Pathan,7.951,8.481,828.1444444444446,1612.5564698487256,1117.54223437496,944.0316358706552,1489.1008505076245,1630.166465128843,1371.74802608712,2745.24169921875,1360.8576136363206,20.09087281492542,14.7523554106667,21.93814350257273,20.052038917150092,20.881735937186683,14.4592772017466,20.029827117919922,20.666666666666668,18.695737297374688,898.299750483834
