LOCALITY,n_sp,HYP,HOD,BUN,SF,OT,LOP,LOPT,AL,OL,ALX,AVERAGE.AGE,LAT,LONG,FORMATION,REFERENCE.SECTION,PALEOMAG.SECTION,MINIMUM.AGE,MAXIMUM.AGE,precipPredLM,precipPredRF,precipPredSCAM,precipPredSVM,precipPredGBM,precipPredMARS,precipPredGAM,precipPredXGB,ensemblePrec,tempPredRF,tempPredSCAM,tempPredSVM,tempPredGBM,tempPredMARS,tempPredGAM,tempPredXGB,tempPredLM,ensembleTemp,precipHYP,form_lon,form_lat,final_lon,final_lat,coord_source,lon_jit,lat_jit,bio15PredRF,bio15PredSCAM,bio15PredSVM,bio15PredGBM,bio15PredMARS,bio15PredGAM,bio15PredXGB,ensembleBio15,nppPredRF,nppPredSVM,nppPredGBM,nppPredMARS,nppPredGAM,nppPredSCAM,ensembleNPP,NPP_liu,MAP_lm_PN,MAT_lm_PN
ML006,5,2,1.02,0.18,0.02,0.4,1.6,0,0.38,0.52,0.2,8.86,NA,NA,Dhok Pathan,Malhuwala Kas,Malhuwala Kas,8.733,8.987,567.4,634.1433525,928.9889206,557.9100688,823.3110085,843.2818291,966.0365505,828.6755981,792.2786217,-4.359163922,6.409643401,-0.309658203,-5.632356821,-2.573696845,6.956686808,-5.875989914,21.3,0.08190907,675.4575774,72.37276667,33.11698333,72.37276667,33.11698333,formation_centroid,72.51821797,33.17188698,60.65478084,40.12962992,45.69503914,52.80450149,49.84240249,28.86853859,64.3371048,46.33248208,629.6225897,600.9580775,723.3940425,723.8966395,889.9298442,1015.991666,763.9654766,679.28,551.9763046,9.265933669
RK001,6,1.533333333,1.016666667,0.133333333,0.016666667,0.183333333,1.35,0.383333333,0.666666667,0.433333333,0.333333333,10.421,N 33 21.404,E 72 37.684,Nagri,Ratha Kas,Ratha Kas,10.361,10.48,912.5166667,1012.052092,1007.188568,1204.613123,1147.980159,1547.163577,1204.359669,881.0289917,1187.226198,-3.583782932,3.41151482,-2.894861161,-2.622437934,-1.744376727,2.631472099,-2.629606485,17.5,-0.800411973,1905.494132,72.62806667,33.35673333,73.83853444,33.91267889,actual,73.83853444,33.91267889,72.1201993,69.40178111,46.36645667,70.44806767,46.56290035,48.96611572,75.55221558,58.9775868,1127.738197,1373.055465,1246.456635,1328.251394,1395.100684,1032.401769,1250.500691,1082.211667,1402.681572,2.494005036
Y0004,5,2.24,1.4,0.2,0.4,0.24,1.2,1.28,0,0.8,0,8.417,NA,NA,Dhok Pathan,Dhok Pathan,Dhok Pathan,8.353,8.481,834.44,721.2753066,789.8460922,801.3396997,868.8426813,782.8398136,756.2338452,520.1296387,786.7295731,25.46000001,22.33589384,25.78837394,25.68161728,24.93478561,22.79378134,25.42263603,27,24.49907534,526.7458227,72.37276667,33.11698333,72.37276667,33.11698333,formation_centroid,72.54876769,33.28975007,124.6999434,93.26944493,94.2915164,131.3091368,131.6728043,95.82305757,136.5255432,111.8443172,1197.833538,1404.530734,1263.102934,1426.778803,1337.835712,1035.628708,1277.618405,1023.728,557.6838655,19.42382662
Y0007,9,1.833333333,1.222222222,0.111111111,0.122222222,0.255555556,1.233333333,1.144444444,0.311111111,0.722222222,0.111111111,8.314,NA,NA,Dhok Pathan,Dhok Pathan,Dhok Pathan,8.268,8.36,923.9333333,679.4568153,757.9616273,868.4573656,807.4753393,800.8151314,818.3784586,721.3329468,788.7574563,11.68107465,13.58472562,10.87081717,5.242793216,8.65811569,11.76738888,6.156773567,23.83333333,10.3008192,879.1884511,72.37276667,33.11698333,72.37276667,33.11698333,formation_centroid,72.53356723,33.16877441,62.21977601,71.03318874,44.35986085,43.62812005,38.47684142,58.98367391,40.50777054,53.11691016,1218.012128,1408.029354,1634.951347,1452.624021,1457.928165,1199.538169,1395.180531,1112.686667,995.9444758,13.78055276
Y0010,7,2.057142857,1.285714286,0.142857143,0.285714286,0.185714286,1.3,1.185714286,0.271428571,0.714285714,0.142857143,7.895,N 33 07.019,E 72 22.366,Dhok Pathan,Dhok Pathan,Dhok Pathan,7.878,7.911,803.1857143,612.7495674,831.2784998,815.6286981,706.7653993,802.6000363,830.9028877,774.24646,766.6541814,17.88973901,10.63205725,22.8288935,18.39714454,23.63833432,9.514746966,17.71863174,22.92857143,17.1501526,642.9722008,72.37276667,33.11698333,73.57897944,33.66893306,actual,73.57897944,33.66893306,101.8284402,73.01522271,74.97316886,95.06844515,93.94217409,77.50877225,108.9197922,86.0560372,1178.281849,1394.144305,1272.593963,1244.355723,1306.320145,1193.451115,1264.85785,975.0014286,668.9749093,12.1681888
Y0011,9,1.8,1,0.222222222,0.222222222,0.122222222,1.455555556,0.211111111,0.433333333,0.444444444,0.333333333,7.878,N 33 06.948,E 72 21.762,Dhok Pathan,Dhok Pathan,Dhok Pathan,7.843,7.912,746.6777778,1474.898551,1395.900981,1276.374391,1458.369532,1271.926919,1229.313195,1402.887939,1351.130595,6.788848521,3.41151482,1.085222972,6.39548207,1.012347007,2.631472099,6.989985943,17.5,3.554147915,952.0650509,72.37276667,33.11698333,73.568745,33.66773,actual,73.568745,33.66773,80.71040617,70.11897598,70.69560284,85.29669596,73.73222368,80.91537334,85.01661682,76.91154633,1568.077765,1427.823956,1581.103115,1403.030635,1334.006945,1620.443499,1489.080986,890.8966667,852.1655228,2.494005036
Y0013,5,2.24,1.4,0.2,0.2,0.44,1.2,1.28,0,0.8,0,8.007,NA,NA,Dhok Pathan,Dhok Pathan,Dhok Pathan,7.936,8.077,834.44,841.7033743,784.457284,592.2570483,886.6687675,777.4557989,853.5457886,595.6386719,789.3480103,24.99710476,22.33589384,25.31455299,25.38226601,25.14926111,22.79378134,25.63153076,27,24.32881001,526.7458227,72.37276667,33.11698333,72.37276667,33.11698333,formation_centroid,72.33323991,33.27003384,66.48083894,53.33208784,50.42263723,60.25018811,65.11299533,60.17710482,39.0955162,59.29597538,1258.073147,999.3891945,1127.230636,1050.553238,991.4480001,983.3231128,1068.336221,1023.728,557.6838655,19.42382662
Y0017,12,1.866666667,1.333333333,0.083333333,0.166666667,0.191666667,1.425,1.025,0.491666667,0.666666667,0.25,7.999,NA,NA,Dhok Pathan,Dhok Pathan,Dhok Pathan,7.983,8.015,753.1083333,676.2291074,727.9948622,849.5485006,766.4595072,732.6574035,826.0986018,718.2982788,763.1646638,12.97305041,4.756204707,8.139504996,12.47441945,9.100611787,5.602683873,13.11650372,19.875,8.841079204,818.4070721,72.37276667,33.11698333,72.37276667,33.11698333,formation_centroid,72.51883239,33.07739158,70.23104573,69.31203364,54.28319378,56.62944612,60.87719936,62.68868179,74.09867859,62.3369334,1119.216004,1286.957424,1207.570414,1283.933933,1300.268483,1108.333352,1217.713268,902.5008333,793.118023,6.726460432
Y0018,5,1.88,1.4,0.2,0,0.44,1.2,1.28,0.2,0.74,0,8.118,NA,NA,Dhok Pathan,Dhok Pathan,Dhok Pathan,8.049,8.187,938.48,806.7013295,1171.182445,797.2674929,1082.319806,1356.813638,1162.045104,1125.935059,1062.721636,11.02213209,22.33589384,12.42116948,14.11320633,16.26766548,22.79378134,14.09589386,27,16.49230809,797.4878257,72.37276667,33.11698333,72.37276667,33.11698333,formation_centroid,72.35367573,33.04063442,59.29363565,53.33208784,30.55134255,44.01285429,44.83472975,49.45358505,27.89003944,46.91303919,1135.334498,1083.854519,1310.816136,1096.307833,1237.901352,1040.683388,1150.816288,1133.276,957.6636271,19.42382662
Y0019,10,2.04,1.4,0.1,0.2,0.33,1.31,1.23,0.29,0.7,0.2,8.03,NA,NA,Dhok Pathan,Dhok Pathan,Dhok Pathan,7.982,8.077,799.73,605.7631012,669.3672951,657.3889815,681.2335397,599.4483814,687.606634,671.4030762,650.1346555,14.23007315,6.409643401,15.70927875,15.20448807,21.02644571,6.956686808,14.96913242,21.3,13.25610265,651.90862,72.37276667,33.11698333,72.37276667,33.11698333,formation_centroid,72.4937282,32.96964828,58.16869363,50.96660815,47.54382104,44.26929986,58.26774531,39.44173007,56.68418884,49.77631634,1044.130619,1161.630148,1188.549407,1204.285872,1187.568715,1022.157406,1134.720361,969.781,680.0902182,9.265933669
