LOCALITY,n_sp,HYP,HOD,BUN,SF,OT,LOP,LOPT,AL,OL,ALX,AVERAGE.AGE
Y0076,30,1.1566666666666667,1.1333333333333333,0.1,0,0.033333333,1.0666666666666667,1.0333333333333334,0.7666666666666667,0.42333333333333334,0.4666666666666667,11.41
Y0083,9,1.1111111111111112,1,0.2222222222222222,0,0,0.6666666666666666,0.8888888888888888,0.6666666666666666,0.1111111111111111,0.6666666666666666,11.601
Y0086,5,1.22,1,0,0.02,0.02,1.42,0.78,0.96,0.32,0.6,13.578
Y0087,5,1.28,1.42,0.16,0.02,0.060000000000000005,1.02,1.74,0.6,0.52,0.2,13.874
Y0090,6,1.8333333333333333,1,0.3333333333333333,0.16666666666666666,0.16666666666666666,1.1666666666666667,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,8.007
Y0095,6,1.5833333333333333,1.6666666666666667,0.16666666666666666,0.016666666666666666,0.25,1,1.7833333333333334,0.31666666666666665,0.6,0.16666666666666666,9.337
Y0097,7,2.142857142857143,1,0.14285714285714285,0.2857142857142857,0.14285714285714285,1.7142857142857142,0,0.42857142857142855,0.5714285714285714,0.2857142857142857,7.929
Y0099,7,1.8857142857142857,1,0.14285714285714285,0.14285714285714285,0.3,1.3,0.5571428571428572,0.4142857142857143,0.5714285714285714,0.2857142857142857,7.929
Y0113,6,1.7,1.3333333333333333,0.16666666666666666,0.16666666666666666,0.2,1.1666666666666667,1.4000000000000001,0.3333333333333333,0.6666666666666666,0.16666666666666666,8.368
Y0130,7,2.057142857142857,1.2857142857142858,0,0.2857142857142857,0.18571428571428572,1.5857142857142856,1.1857142857142857,0.4142857142857143,0.8571428571428571,0.14285714285714285,7.96
Y0140,7,1.6285714285714286,1.2857142857142858,0.14285714285714285,0,0.18571428571428572,1.3,1.1857142857142857,0.5571428571428572,0.7142857142857143,0.14285714285714285,9.466
Y0144,6,1.5833333333333333,1.6666666666666667,0.16666666666666666,0.016666666666666666,0.25,1,1.7833333333333334,0.31666666666666665,0.6,0.16666666666666666,8.765
Y0155,5,1.88,1.4,0.2,0.2,0.26,1.02,1.6600000000000001,0.18,0.8,0,8.444
Y0158,15,1.76,1.2666666666666666,0.13333333333333333,0.13333333333333333,0.22,1.34,0.8200000000000001,0.46,0.5333333333333333,0.3333333333333333,8.739
Y0159,8,1.55,1.25,0.25,0,0.1625,1.1375,1.0375,0.4875,0.625,0.125,9.396
Y0160,8,1.525,1,0.125,0,0.125,1.375,0.5,0.75,0.5,0.375,9.408
Y0161,7,1.3142857142857143,1.2857142857142858,0.2857142857142857,0,0.17142857142857143,1,1.2,0.42857142857142855,0.42857142857142855,0.2857142857142857,9.404
Y0162,6,1.7,1,0.16666666666666666,0,0.18333333333333335,1.5166666666666666,0.31666666666666665,0.65,0.6666666666666666,0.16666666666666666,9.449
Y0163,5,1.44,1,0.2,0,0.22,1.42,0.38,0.58,0.6,0.2,9.399
Y0165,5,1.66,1.4,0,0.02,0.26,1.42,1.6600000000000001,0.56,0.72,0.2,8.794
Y0166,11,1.5363636363636364,1.1818181818181819,0.18181818181818182,0,0.2090909090909091,1.190909090909091,0.9363636363636364,0.44545454545454544,0.5181818181818182,0.2727272727272727,8.794
Y0168,5,2.04,1.4,0,0.2,0.22,1.42,1.38,0.38,1,0,8.296
Y0171,6,1.6166666666666667,1.35,0.13333333333333333,0,0.21666666666666667,1.1833333333333333,1.45,0.5166666666666667,0.6166666666666667,0.16666666666666666,8.075
Y0172,7,1.6285714285714286,1.2857142857142858,0.14285714285714285,0.14285714285714285,0.18571428571428572,1.1571428571428573,1.1857142857142857,0.4142857142857143,0.5714285714285714,0.2857142857142857,8.282
Y0173,6,1.55,1.3333333333333333,0.16666666666666666,0.016666666666666666,0.21666666666666667,0.85,1.7166666666666668,0.4666666666666667,0.6,0.16666666666666666,8.282
Y0174,11,1.8,1.3636363636363635,0.090909091,0.090909091,0.23636363636363636,1.009090909090909,1.509090909090909,0.35454545454545455,0.7272727272727273,0.18181818181818182,8.397
