HID,n_sp,HYP,HOD,BUN,SF,OT,LOP,LOPT,AL,OL,ALX,AVERAGE.AGE
Y0163,5,1.44,1,0.2,0,0.22,1.42,0.38,0.58,0.6,0.2,9.399
Y0165,5,1.66,1.4,0,0.02,0.26,1.42,1.66,0.56,0.72,0.28,8.794
Y0166,12,1.491666667,1.166666667,0.166666667,0,0.191666667,1.258333333,0.858333333,0.491666667,0.475,0.358333333,8.794
Y0168,5,2.04,1.4,0,0.2,0.22,1.42,1.38,0.38,1,0,8.296
Y0171,6,1.616666667,1.35,0.133333333,0,0.216666667,1.183333333,1.45,0.516666667,0.616666667,0.216666667,8.075
Y0172,7,1.628571429,1.285714286,0.142857143,0.142857143,0.185714286,1.157142857,1.185714286,0.414285714,0.571428571,0.142857143,8.282
Y0173,6,1.55,1.333333333,0.166666667,0.016666667,0.216666667,0.85,1.716666667,0.466666667,0.6,0.233333333,8.282
Y0174,11,1.8,1.363636364,0.090909091,0.090909091,0.236363636,1.009090909,1.509090909,0.354545455,0.727272727,0.181818182,8.397
Y0176,9,1.822222222,1.222222222,0.222222222,0.111111111,0.255555556,1.233333333,0.922222222,0.322222222,0.666666667,0.111111111,8.193
Y0179,5,1.62,1,0,0.02,0.22,1.42,0.78,0.76,0.52,0.48,8.662
Y0182,23,1.539130435,1.086956522,0.173913043,0.043478261,0.139130435,1.130434783,0.8,0.565217391,0.47826087,0.304347826,9.24
Y0191,8,1.5,1.25,0.25,0,0.25,1,0.75,0.375,0.5,0.25,9.332
Y0192,6,1.433333333,1.333333333,0.166666667,0,0.216666667,1.183333333,1.383333333,0.483333333,0.616666667,0.216666667,8.569
Y0193,8,1.5,1.25,0.25,0,0.125,1,0.875,0.375,0.5,0.25,8.996
Y0194,7,1.642857143,1.3,0.114285714,0,0.185714286,1.014285714,1.528571429,0.442857143,0.714285714,0.142857143,8.996
Y0196,7,1.714285714,1,0.142857143,0.142857143,0.142857143,1.571428571,0.285714286,0.571428571,0.571428571,0.285714286,8.996
Y0199,6,1.866666667,1.333333333,0.166666667,0.166666667,0.183333333,1.183333333,1.15,0.316666667,0.833333333,0,8.67
Y0205,5,1.62,1.4,0,0.02,0.24,1.4,1.68,0.58,0.72,0.28,9.002
Y0207,10,1.72,1,0.2,0,0.21,1.51,0.19,0.59,0.5,0.3,9.365
Y0211,23,1.530434783,1.086956522,0.173913043,0.043478261,0.139130435,1.304347826,0.539130435,0.565217391,0.347826087,0.47826087,9.329
Y0212,9,1.555555556,1,0,0.111111111,0.111111111,1.666666667,0.444444444,0.777777778,0.555555556,0.333333333,9.363
Y0213,7,1.342857143,1.285714286,0.285714286,0,0.185714286,1.014285714,1.185714286,0.414285714,0.571428571,0.142857143,9.401
Y0215,6,1.733333333,1.333333333,0.166666667,0.166666667,0.216666667,1.183333333,1.383333333,0.316666667,0.666666667,0.166666667,8.481
Y0216,9,1.488888889,1.222222222,0.111111111,0,0.144444444,1.233333333,1.144444444,0.544444444,0.666666667,0.222222222,9.591
Y0221,14,1.728571429,1,0.214285714,0.071428571,0.15,1.364285714,0.278571429,0.492857143,0.5,0.285714286,9.367
Y0224,11,1.654545455,1,0.181818182,0.090909091,0.1,1.190909091,0.536363636,0.536363636,0.545454545,0.272727273,9.401
Y0225,8,1.375,1,0.25,0,0.125,1.375,0.25,0.625,0.375,0.375,9.401
Y0226,10,1.6,1,0.2,0.1,0.2,1.3,0.4,0.5,0.5,0.3,9.367
Y0227,21,1.4,1.19047619,0.142857143,0.047619048,0.061904762,1.19047619,0.823809524,0.619047619,0.428571429,0.380952381,9.401
Y0228,8,1.3,1.25,0.125,0,0.1625,1.1375,1.2875,0.4875,0.625,0.25,9.621
Y0236,9,1.377777778,1.222222222,0,0,0.144444444,1.4,1.2,0.655555556,0.555555556,0.444444444,9.633
